snapshot_date,snapshot_timestamp,event_id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market_key,market_last_update,home_price,away_price,draw_price
20260324,2026-03-24 01:23:39 EDT,89f4834fc319b6e8ad1d734b2dee4472,basketball_wncaab,WNCAAB,2026-03-27T18:30:00Z,Vanderbilt Commodores,Notre Dame Fighting Irish,draftkings,DraftKings,2026-03-24T05:21:34Z,h2h,2026-03-24T05:21:34Z,-225,185,
20260324,2026-03-24 01:23:39 EDT,89f4834fc319b6e8ad1d734b2dee4472,basketball_wncaab,WNCAAB,2026-03-27T18:30:00Z,Vanderbilt Commodores,Notre Dame Fighting Irish,fanduel,FanDuel,2026-03-24T05:21:34Z,h2h,2026-03-24T05:21:34Z,-215,172,
20260324,2026-03-24 01:23:39 EDT,89f4834fc319b6e8ad1d734b2dee4472,basketball_wncaab,WNCAAB,2026-03-27T18:30:00Z,Vanderbilt Commodores,Notre Dame Fighting Irish,betrivers,BetRivers,2026-03-24T05:22:49Z,h2h,2026-03-24T05:22:49Z,-215,155,
20260324,2026-03-24 01:23:39 EDT,dd316675d9b1d54fe3f465a1fbc7ee24,basketball_wncaab,WNCAAB,2026-03-27T21:00:00Z,UConn Huskies,North Carolina Tar Heels,draftkings,DraftKings,2026-03-24T05:21:34Z,h2h,2026-03-24T05:21:34Z,-100000,5000,
20260324,2026-03-24 01:23:39 EDT,2020f18703258789171e61a7cab03a64,basketball_wncaab,WNCAAB,2026-03-27T23:30:00Z,UCLA Bruins,Minnesota Golden Gophers,draftkings,DraftKings,2026-03-24T05:21:34Z,h2h,2026-03-24T05:21:34Z,-5000,1800,
20260324,2026-03-24 01:23:39 EDT,2020f18703258789171e61a7cab03a64,basketball_wncaab,WNCAAB,2026-03-27T23:30:00Z,UCLA Bruins,Minnesota Golden Gophers,fanduel,FanDuel,2026-03-24T05:21:34Z,h2h,2026-03-24T05:21:34Z,-4500,1300,
20260324,2026-03-24 01:23:39 EDT,2020f18703258789171e61a7cab03a64,basketball_wncaab,WNCAAB,2026-03-27T23:30:00Z,UCLA Bruins,Minnesota Golden Gophers,betrivers,BetRivers,2026-03-24T05:22:49Z,h2h,2026-03-24T05:22:49Z,-5000,1000,
20260324,2026-03-24 01:23:39 EDT,e9ad912c3502be366231fba4e243b7b9,basketball_wncaab,WNCAAB,2026-03-28T02:00:00Z,LSU Tigers,Duke Blue Devils,draftkings,DraftKings,2026-03-24T05:21:34Z,h2h,2026-03-24T05:21:34Z,-395,310,
20260324,2026-03-24 01:23:39 EDT,e9ad912c3502be366231fba4e243b7b9,basketball_wncaab,WNCAAB,2026-03-28T02:00:00Z,LSU Tigers,Duke Blue Devils,betrivers,BetRivers,2026-03-24T05:22:49Z,h2h,2026-03-24T05:22:49Z,-435,290,
20260324,2026-03-24 01:23:39 EDT,e9ad912c3502be366231fba4e243b7b9,basketball_wncaab,WNCAAB,2026-03-28T02:00:00Z,LSU Tigers,Duke Blue Devils,fanduel,FanDuel,2026-03-24T05:21:34Z,h2h,2026-03-24T05:21:34Z,-400,300,
20260324,2026-03-24 01:23:39 EDT,c001d894fa89c02c7b9fdbd78fdff10b,basketball_wncaab,WNCAAB,2026-03-28T16:00:00Z,Texas Longhorns,Kentucky Wildcats,draftkings,DraftKings,2026-03-24T05:21:34Z,h2h,2026-03-24T05:21:34Z,-1650,950,
20260324,2026-03-24 01:23:39 EDT,c001d894fa89c02c7b9fdbd78fdff10b,basketball_wncaab,WNCAAB,2026-03-28T16:00:00Z,Texas Longhorns,Kentucky Wildcats,fanduel,FanDuel,2026-03-24T05:21:34Z,h2h,2026-03-24T05:21:34Z,-1600,790,
20260324,2026-03-24 01:23:39 EDT,c001d894fa89c02c7b9fdbd78fdff10b,basketball_wncaab,WNCAAB,2026-03-28T16:00:00Z,Texas Longhorns,Kentucky Wildcats,betrivers,BetRivers,2026-03-24T05:22:49Z,h2h,2026-03-24T05:22:49Z,-1430,650,
20260324,2026-03-24 01:23:39 EDT,490d70557bb069eca1d6ea8521e3dbd8,basketball_wncaab,WNCAAB,2026-03-28T16:30:00Z,Michigan Wolverines,Louisville Cardinals,fanduel,FanDuel,2026-03-24T05:21:34Z,h2h,2026-03-24T05:21:34Z,-188,152,
20260324,2026-03-24 01:23:39 EDT,490d70557bb069eca1d6ea8521e3dbd8,basketball_wncaab,WNCAAB,2026-03-28T16:30:00Z,Michigan Wolverines,Louisville Cardinals,draftkings,DraftKings,2026-03-24T05:21:34Z,h2h,2026-03-24T05:21:34Z,-198,164,
20260324,2026-03-24 01:23:39 EDT,490d70557bb069eca1d6ea8521e3dbd8,basketball_wncaab,WNCAAB,2026-03-28T16:30:00Z,Michigan Wolverines,Louisville Cardinals,betrivers,BetRivers,2026-03-24T05:22:49Z,h2h,2026-03-24T05:22:49Z,-186,138,
20260324,2026-03-24 01:23:39 EDT,edec4eaf9cf9667ef4f069b8be6089eb,basketball_wncaab,WNCAAB,2026-03-28T21:00:00Z,South Carolina Gamecocks,Oklahoma Sooners,draftkings,DraftKings,2026-03-24T05:21:34Z,h2h,2026-03-24T05:21:34Z,-2800,1300,
20260324,2026-03-24 01:23:39 EDT,edec4eaf9cf9667ef4f069b8be6089eb,basketball_wncaab,WNCAAB,2026-03-28T21:00:00Z,South Carolina Gamecocks,Oklahoma Sooners,fanduel,FanDuel,2026-03-24T05:21:34Z,h2h,2026-03-24T05:21:34Z,-3000,1120,
20260324,2026-03-24 01:23:39 EDT,edec4eaf9cf9667ef4f069b8be6089eb,basketball_wncaab,WNCAAB,2026-03-28T21:00:00Z,South Carolina Gamecocks,Oklahoma Sooners,betrivers,BetRivers,2026-03-24T05:22:49Z,h2h,2026-03-24T05:22:49Z,-2500,800,
20260324,2026-03-24 01:23:39 EDT,4a49b83737e5b133fc3b1464360fc387,basketball_wncaab,WNCAAB,2026-03-28T23:30:00Z,TCU Horned Frogs,Virginia Cavaliers,draftkings,DraftKings,2026-03-24T05:21:34Z,h2h,2026-03-24T05:21:34Z,-500,380,
20260324,2026-03-24 01:23:39 EDT,4a49b83737e5b133fc3b1464360fc387,basketball_wncaab,WNCAAB,2026-03-28T23:30:00Z,TCU Horned Frogs,Virginia Cavaliers,fanduel,FanDuel,2026-03-24T05:21:34Z,h2h,2026-03-24T05:21:34Z,-420,310,
20260324,2026-03-24 01:23:39 EDT,4a49b83737e5b133fc3b1464360fc387,basketball_wncaab,WNCAAB,2026-03-28T23:30:00Z,TCU Horned Frogs,Virginia Cavaliers,betrivers,BetRivers,2026-03-24T05:22:49Z,h2h,2026-03-24T05:22:49Z,-420,280,
20260324,2026-03-24 03:07:41 EDT,89f4834fc319b6e8ad1d734b2dee4472,basketball_wncaab,WNCAAB,2026-03-27T18:30:00Z,Vanderbilt Commodores,Notre Dame Fighting Irish,draftkings,DraftKings,2026-03-24T07:07:31Z,h2h,2026-03-24T07:07:31Z,-225,185,
