snapshot_date,snapshot_timestamp,event_id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market_key,market_last_update,home_price,away_price,draw_price
20260308,2026-03-08 00:10:43 EST,f1d7b8bab4b5afa8fdbcf7707810d1ec,basketball_wncaab,WNCAAB,2026-03-08T03:35:00Z,Grand Canyon Antelopes,Utah State Aggies,betmgm,BetMGM,2026-03-08T05:10:00Z,h2h,2026-03-08T05:10:00Z,-3000,1050,
20260308,2026-03-08 00:10:43 EST,34ea01b9522ea02951f6087dd06c78be,basketball_wncaab,WNCAAB,2026-03-08T17:00:00Z,Duke Blue Devils,Louisville Cardinals,draftkings,DraftKings,2026-03-08T05:10:00Z,h2h,2026-03-08T05:10:00Z,-125,105,
20260308,2026-03-08 00:10:43 EST,e45efb381b76f1e1f1f302e386689c8c,basketball_wncaab,WNCAAB,2026-03-08T18:15:00Z,UCLA Bruins,Iowa Hawkeyes,draftkings,DraftKings,2026-03-08T05:10:00Z,h2h,2026-03-08T05:10:00Z,-850,575,
20260308,2026-03-08 00:10:43 EST,7169ea3bbc05057bf2e03191797e2fba,basketball_wncaab,WNCAAB,2026-03-08T19:00:00Z,South Carolina Gamecocks,Texas Longhorns,draftkings,DraftKings,2026-03-08T05:10:00Z,h2h,2026-03-08T05:10:00Z,-148,124,
20260308,2026-03-08 00:10:43 EST,65f793ee90c6e845e6464689f4e2439a,basketball_wncaab,WNCAAB,2026-03-08T21:00:00Z,TCU Horned Frogs,West Virginia Mountaineers,draftkings,DraftKings,2026-03-08T05:10:00Z,h2h,2026-03-08T05:10:00Z,-166,140,
20260308,2026-03-08 01:48:33 EST,34ea01b9522ea02951f6087dd06c78be,basketball_wncaab,WNCAAB,2026-03-08T17:00:00Z,Duke Blue Devils,Louisville Cardinals,draftkings,DraftKings,2026-03-08T06:47:13Z,h2h,2026-03-08T06:47:13Z,-125,105,
20260308,2026-03-08 01:48:33 EST,e45efb381b76f1e1f1f302e386689c8c,basketball_wncaab,WNCAAB,2026-03-08T18:15:00Z,UCLA Bruins,Iowa Hawkeyes,draftkings,DraftKings,2026-03-08T06:47:13Z,h2h,2026-03-08T06:47:13Z,-850,575,
20260308,2026-03-08 01:48:33 EST,7169ea3bbc05057bf2e03191797e2fba,basketball_wncaab,WNCAAB,2026-03-08T19:00:00Z,South Carolina Gamecocks,Texas Longhorns,draftkings,DraftKings,2026-03-08T06:47:13Z,h2h,2026-03-08T06:47:13Z,-148,124,
20260308,2026-03-08 01:48:33 EST,65f793ee90c6e845e6464689f4e2439a,basketball_wncaab,WNCAAB,2026-03-08T21:00:00Z,TCU Horned Frogs,West Virginia Mountaineers,draftkings,DraftKings,2026-03-08T06:47:13Z,h2h,2026-03-08T06:47:13Z,-166,140,
20260308,2026-03-08 04:34:54 EDT,34ea01b9522ea02951f6087dd06c78be,basketball_wncaab,WNCAAB,2026-03-08T17:00:00Z,Duke Blue Devils,Louisville Cardinals,draftkings,DraftKings,2026-03-08T08:33:55Z,h2h,2026-03-08T08:33:55Z,-125,105,
